"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","-77.8125","-11.7086000442505","-9999","22.75","22.128","0.0377655048","5.85428546453587","0.868985113677925","24.992215632",
"1/2/1979","-77.8125","-11.7086000442505","-9999","23.233","21.227","0.5716327968","6.38501434382185","0.897662641720856","17.83068588",
"1/3/1979","-77.8125","-11.7086000442505","-9999","23.019","21.965","0.5561835264","5.44902506060172","0.862977065301955","20.79967068",
"1/4/1979","-77.8125","-11.7086000442505","-9999","22.924","21.78","0.1270294056","5.04806707662187","0.828315812062933","28.0356561",
"1/5/1979","-77.8125","-11.7086000442505","-9999","23.217","21.861","0","5.30656788953204","0.841907345942882","27.7228692",
"1/6/1979","-77.8125","-11.7086000442505","-9999","23.235","22.354","0.1115798904","4.93762845797601","0.875240984414439","22.2141456",
"1/7/1979","-77.8125","-11.7086000442505","-9999","23.28","22.345","0.1201630104","4.54755719502482","0.877168695592768","25.8071607",
"1/8/1979","-77.8125","-11.7086000442505","-9999","23.318","22.203","0.722694816","3.61946160298344","0.869603525268427","17.7822045",
"1/9/1979","-77.8125","-11.7086000442505","-9999","23.725","22.402","0.3673553688","4.57814096566328","0.839144714663963","22.6999701",
"1/10/1979","-77.8125","-11.7086000442505","-9999","23.3","21.935","0.0102996864","5.92240047042066","0.82169255775037","30.1323258",
"1/11/1979","-77.8125","-11.7086000442505","-9999","23.589","22.259","0.0686645424","4.39003113073338","0.842671315082618","29.060287632",
"1/12/1979","-77.8125","-11.7086000442505","-9999","23.138","21.939","0.7990839","6.36306457792341","0.837056711545927","14.2350174",
"1/13/1979","-77.8125","-11.7086000442505","-9999","23.224","22.15","0.8462903544","6.0580459221239","0.845251668496999","12.9702924",
"1/14/1979","-77.8125","-11.7086000442505","-9999","23.57","22.166","0","4.99227844754759","0.836623951065908","29.5704675",
"1/15/1979","-77.8125","-11.7086000442505","-9999","24.177","22.625","0","3.12116307865782","0.855314946689227","29.6763984",
